Node	node_type	bigg_id	universal_bigg_id	metabolite_name	Super.class	bigg_model_list	database_links
L-Malate	metabolite	mal__L_e	mal__L	L-Malate	Organic acids and derivatives	iSFV_1184; iZ_1308; e_coli_core; iUTI89_1310; iSSON_1240; iUMNK88_1353; iSDY_1059; iSbBS512_1146; iSFxv_1172; iSBO_1134; iWFL_1372; iUMN146_1321; iJR904; iECDH10B_1368; iECB_1328; iECH74115_1262; iEC55989_1330; iECDH1ME8569_1439; iECED1_1282; iECBD_1354; iECD_1391; iECABU_c1320; iEcHS_1320; iEcDH1_1363; iEcE24377_1341; iCN900; iEC1372_W3110; iSynCJ816; iYS1720; iCN718; iEC1344_C; iEC1368_DH5a; iJN1463; iCHOv1_DG44; iCHOv1; iNF517; Recon3D; iEC1356_Bl21DE3; iYS854; iML1515; iEC1349_Crooks; iEC1364_W; iEK1008; iECs_1301; iECNA114_1301; iECP_1309; iEcolC_1368; iECO111_1330; iECO103_1326; iECSE_1348; iECOK1_1307; iECS88_1305; iECIAI39_1322; iECO26_1355; iECIAI1_1343; iNRG857_1313; iECSP_1301; iLF82_1304; iEKO11_1354; iECW_1372; iG2583_1286; iETEC_1333; iS_1188; iECUMN_1333; iECSF_1327; iEcSMS35_1347; iMM904; ic_1306; iJO1366; iND750; iIT341; iSF_1195; iSB619; iEC042_1314; iAF1260; iB21_1397; iPC815; iE2348C_1286; iJN746; iAPECO1_1312; iNJ661; iBWG_1329; iAF1260b; iJN678; iY75_1357; iYL1228; iAB_RBC_283; iYO844; STM_v1_0	Reactome Compound: http://identifiers.org/reactome/R-ALL-113544; Reactome Compound: http://identifiers.org/reactome/R-ALL-198498; InChI Key: https://identifiers.org/inchikey/BJEPYKJPYRNKOW-REOHCLBHSA-L; KEGG Compound: http://identifiers.org/kegg.compound/C00149; CHEBI: http://identifiers.org/chebi/CHEBI:11066; CHEBI: http://identifiers.org/chebi/CHEBI:13140; CHEBI: http://identifiers.org/chebi/CHEBI:15589; CHEBI: http://identifiers.org/chebi/CHEBI:18784; CHEBI: http://identifiers.org/chebi/CHEBI:18785; CHEBI: http://identifiers.org/chebi/CHEBI:30797; CHEBI: http://identifiers.org/chebi/CHEBI:423; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00156; BioCyc: http://identifiers.org/biocyc/META:MAL; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM98; SEED Compound: http://identifiers.org/seed.compound/cpd00130
L-Serine	metabolite	ser__L_e	ser__L	L-Serine	Organic acids and derivatives	iECSE_1348; iECP_1309; iECS88_1305; iECs_1301; iECOK1_1307; iECO111_1330; iECIAI39_1322; iECO26_1355; iECIAI1_1343; iECNA114_1301; iECO103_1326; iEcolC_1368; iS_1188; iECSP_1301; iEcSMS35_1347; iECUMN_1333; iEKO11_1354; iLF82_1304; iG2583_1286; iETEC_1333; iECSF_1327; iNRG857_1313; iECW_1372; iYO844; iYL1228; STM_v1_0; RECON1; iAF1260b; iAT_PLT_636; iJN678; iY75_1357; iHN637; iMM1415; iMM904; iNJ661; iB21_1397; iJO1366; ic_1306; iE2348C_1286; iIT341; iAPECO1_1312; iSB619; iND750; iBWG_1329; iJN746; iEC042_1314; iAF1260; iPC815; iSF_1195; iSFxv_1172; iUMNK88_1353; iSbBS512_1146; iSSON_1240; iUMN146_1321; iWFL_1372; iSBO_1134; iZ_1308; iUTI89_1310; iSFV_1184; iSDY_1059; iJR904; iECH74115_1262; iEcHS_1320; iECED1_1282; iEC55989_1330; iECBD_1354; iECABU_c1320; iEcDH1_1363; iEcE24377_1341; iECDH10B_1368; iECDH1ME8569_1439; iECB_1328; iECD_1391; iEK1008; Recon3D; iNF517; iEC1364_W; iEC1349_Crooks; iEC1356_Bl21DE3; iYS854; iML1515; iCHOv1; iCHOv1_DG44; iIS312_Amastigote; iAM_Pb448; iCN900; iIS312_Trypomastigote; iAM_Pk459; iYS1720; iAM_Pf480; iSynCJ816; iIS312; iIS312_Epimastigote; iEC1372_W3110; iEC1368_DH5a; iJN1463; iAM_Pv461; iEC1344_C; iCN718; iAM_Pc455	Reactome Compound: http://identifiers.org/reactome/R-ALL-200736; Reactome Compound: http://identifiers.org/reactome/R-ALL-352002; Reactome Compound: http://identifiers.org/reactome/R-ALL-379732; Reactome Compound: http://identifiers.org/reactome/R-ALL-8932979; KEGG Compound: http://identifiers.org/kegg.compound/C00065; KEGG Compound: http://identifiers.org/kegg.compound/C00716; CHEBI: http://identifiers.org/chebi/CHEBI:13167; CHEBI: http://identifiers.org/chebi/CHEBI:15081; CHEBI: http://identifiers.org/chebi/CHEBI:17115; CHEBI: http://identifiers.org/chebi/CHEBI:17822; CHEBI: http://identifiers.org/chebi/CHEBI:21387; CHEBI: http://identifiers.org/chebi/CHEBI:26648; CHEBI: http://identifiers.org/chebi/CHEBI:32836; CHEBI: http://identifiers.org/chebi/CHEBI:32837; CHEBI: http://identifiers.org/chebi/CHEBI:32845; CHEBI: http://identifiers.org/chebi/CHEBI:32846; CHEBI: http://identifiers.org/chebi/CHEBI:33384; CHEBI: http://identifiers.org/chebi/CHEBI:35243; CHEBI: http://identifiers.org/chebi/CHEBI:45440; CHEBI: http://identifiers.org/chebi/CHEBI:45451; CHEBI: http://identifiers.org/chebi/CHEBI:45590; CHEBI: http://identifiers.org/chebi/CHEBI:45597; CHEBI: http://identifiers.org/chebi/CHEBI:45677; CHEBI: http://identifiers.org/chebi/CHEBI:6301; CHEBI: http://identifiers.org/chebi/CHEBI:9116; KEGG Drug: http://identifiers.org/kegg.drug/D00016; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00187; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00589; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62263; LipidMaps: http://identifiers.org/lipidmaps/LMFA01100045; BioCyc: http://identifiers.org/biocyc/META:SER; BioCyc: http://identifiers.org/biocyc/META:Serines; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM53; InChI Key: https://identifiers.org/inchikey/MTCFGRXMJLQNBG-REOHCLBHSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00054; SEED Compound: http://identifiers.org/seed.compound/cpd28171; SEED Compound: http://identifiers.org/seed.compound/cpd30743
Magnesium	metabolite	mg2_e	mg2	Magnesium	Homogeneous metal compounds	iEC1349_Crooks; iEC1364_W; iEC1356_Bl21DE3; iLB1027_lipid; iML1515; iJB785; iEK1008; iYS854; iCN718; iEC1344_C; iCN900; iYS1720; iAM_Pv461; iEC1372_W3110; iAM_Pk459; iSynCJ816; iEC1368_DH5a; iAM_Pc455; iJN1463; iAM_Pb448; iAM_Pf480; iECs_1301; iECSE_1348; iECO111_1330; iEcolC_1368; iECO26_1355; iECIAI39_1322; iECIAI1_1343; iECOK1_1307; iECNA114_1301; iECS88_1305; iECP_1309; iECO103_1326; iECED1_1282; iECABU_c1320; iECDH10B_1368; iECBD_1354; iEC55989_1330; iECDH1ME8569_1439; iEcHS_1320; iECB_1328; iEcDH1_1363; iEcE24377_1341; iECD_1391; iECH74115_1262; ic_1306; iEC042_1314; iE2348C_1286; iNJ661; iSB619; iPC815; iB21_1397; iAPECO1_1312; iJO1366; iSF_1195; iBWG_1329; iAF1260; iRC1080; iYO844; iJN678; iAF987; iYL1228; iLJ478; iAF692; iHN637; iY75_1357; iAF1260b; STM_v1_0; iLF82_1304; iECSF_1327; iNRG857_1313; iG2583_1286; iEKO11_1354; iEcSMS35_1347; iECUMN_1333; iS_1188; iECSP_1301; iECW_1372; iETEC_1333; iSFxv_1172; iSbBS512_1146; iSDY_1059; iUMN146_1321; iZ_1308; iSFV_1184; iSSON_1240; iUTI89_1310; iSBO_1134; iUMNK88_1353; iWFL_1372	Reactome Compound: http://identifiers.org/reactome/R-ALL-109496; Reactome Compound: http://identifiers.org/reactome/R-ALL-114632; Reactome Compound: http://identifiers.org/reactome/R-ALL-29926; Reactome Compound: http://identifiers.org/reactome/R-ALL-5336432; KEGG Compound: http://identifiers.org/kegg.compound/C00305; CHEBI: http://identifiers.org/chebi/CHEBI:13379; CHEBI: http://identifiers.org/chebi/CHEBI:18420; CHEBI: http://identifiers.org/chebi/CHEBI:25112; CHEBI: http://identifiers.org/chebi/CHEBI:39127; CHEBI: http://identifiers.org/chebi/CHEBI:49736; CHEBI: http://identifiers.org/chebi/CHEBI:6635; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00547; InChI Key: https://identifiers.org/inchikey/JLVVSXFLKOJNIY-UHFFFAOYSA-N; BioCyc: http://identifiers.org/biocyc/META:MG+2; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM653; SEED Compound: http://identifiers.org/seed.compound/cpd00254
Manganese	metabolite	mn2_e	mn2	Manganese	Homogeneous metal compounds	iE2348C_1286; iSF_1195; iBWG_1329; iAF1260; iSB619; ic_1306; iJO1366; iPC815; iEC042_1314; iB21_1397; iAPECO1_1312; iYO844; iHN637; iAF1260b; iJN678; STM_v1_0; iYL1228; iY75_1357; iAF692; iAF987; iSFV_1184; iUMNK88_1353; iSSON_1240; iSFxv_1172; iZ_1308; iUTI89_1310; iSBO_1134; iUMN146_1321; iWFL_1372; iSbBS512_1146; iSDY_1059; iECSF_1327; iECW_1372; iEKO11_1354; iECUMN_1333; iECSP_1301; iNRG857_1313; iETEC_1333; iG2583_1286; iLF82_1304; iEcSMS35_1347; iS_1188; iJB785; iEC1364_W; iNF517; iEC1356_Bl21DE3; iML1515; iYS854; iEC1349_Crooks; iEK1008; iEC1372_W3110; iEC1344_C; iEC1368_DH5a; iYS1720; iJN1463; iCN900; iSynCJ816; iECH74115_1262; iECED1_1282; iECBD_1354; iEcDH1_1363; iEcHS_1320; iECB_1328; iECDH1ME8569_1439; iECDH10B_1368; iECABU_c1320; iEcE24377_1341; iECD_1391; iEC55989_1330; iECOK1_1307; iECIAI1_1343; iECO103_1326; iECS88_1305; iECSE_1348; iECP_1309; iECIAI39_1322; iECNA114_1301; iECO26_1355; iEcolC_1368; iECO111_1330; iECs_1301	Reactome Compound: http://identifiers.org/reactome/R-ALL-1981162; Reactome Compound: http://identifiers.org/reactome/R-ALL-29418; KEGG Compound: http://identifiers.org/kegg.compound/C19610; CHEBI: http://identifiers.org/chebi/CHEBI:21435; CHEBI: http://identifiers.org/chebi/CHEBI:25156; CHEBI: http://identifiers.org/chebi/CHEBI:29035; CHEBI: http://identifiers.org/chebi/CHEBI:49749; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01333; BioCyc: http://identifiers.org/biocyc/META:MN+2; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2255; InChI Key: https://identifiers.org/inchikey/WAEMQWOKJMHJLA-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00030; SEED Compound: http://identifiers.org/seed.compound/cpd20863
Methanol	metabolite	meoh_e	meoh	Methanol	Organic oxygen compounds	iECW_1372; iEcSMS35_1347; iETEC_1333; iS_1188; iECSF_1327; iG2583_1286; iECUMN_1333; iLF82_1304; iECSP_1301; iEKO11_1354; iNRG857_1313; iZ_1308; iUMN146_1321; iSFxv_1172; iUMNK88_1353; iSFV_1184; iSbBS512_1146; iSBO_1134; iSSON_1240; iSDY_1059; iUTI89_1310; iWFL_1372; iEK1008; iEC1364_W; Recon3D; iJB785; iCHOv1; iEC1349_Crooks; iCHOv1_DG44; iML1515; iEC1356_Bl21DE3; iMM1415; RECON1; iAF987; iYO844; iY75_1357; iAF692; iECDH10B_1368; iEcE24377_1341; iECB_1328; iECED1_1282; iEcDH1_1363; iECABU_c1320; iECH74115_1262; iECD_1391; iECBD_1354; iEC55989_1330; iECDH1ME8569_1439; iEcHS_1320; iECO103_1326; iECS88_1305; iECNA114_1301; iECIAI39_1322; iECO26_1355; iECIAI1_1343; iECOK1_1307; iECO111_1330; iECP_1309; iECSE_1348; iEcolC_1368; iECs_1301; iEC1368_DH5a; iEC1372_W3110; iEC1344_C; iJN1463; iNJ661; iE2348C_1286; ic_1306; iEC042_1314; iBWG_1329; iJO1366; iAPECO1_1312; iSF_1195; iB21_1397	Reactome Compound: http://identifiers.org/reactome/R-ALL-5359061; Reactome Compound: http://identifiers.org/reactome/R-ALL-5693711; KEGG Compound: http://identifiers.org/kegg.compound/C00132; CHEBI: http://identifiers.org/chebi/CHEBI:14588; CHEBI: http://identifiers.org/chebi/CHEBI:17790; CHEBI: http://identifiers.org/chebi/CHEBI:25227; CHEBI: http://identifiers.org/chebi/CHEBI:44080; CHEBI: http://identifiers.org/chebi/CHEBI:44553; CHEBI: http://identifiers.org/chebi/CHEBI:52090; CHEBI: http://identifiers.org/chebi/CHEBI:6816; KEGG Drug: http://identifiers.org/kegg.drug/D02309; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01875; BioCyc: http://identifiers.org/biocyc/META:ALCOHOL-GROUP; BioCyc: http://identifiers.org/biocyc/META:METOH; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM157; InChI Key: https://identifiers.org/inchikey/OKKJLVBELUTLKV-UHFFFAOYSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd00116
Molybdate	metabolite	mobd_e	mobd	Molybdate	Mixed metal/non-metal compounds	iSynCJ816; iEC1344_C; iCN900; iEC1368_DH5a; iYS1720; iJN1463; iEC1372_W3110; iJO1366; iAF1260; iAPECO1_1312; iPC815; ic_1306; iE2348C_1286; iBWG_1329; iEC042_1314; iSF_1195; iSB619; iB21_1397; iECUMN_1333; iG2583_1286; iEcSMS35_1347; iS_1188; iECW_1372; iEKO11_1354; iLF82_1304; iECSP_1301; iECSF_1327; iNRG857_1313; iETEC_1333; iECs_1301; iECOK1_1307; iECS88_1305; iECO103_1326; iEcolC_1368; iECSE_1348; iECIAI39_1322; iECO26_1355; iECNA114_1301; iECO111_1330; iECIAI1_1343; iECP_1309; iAF987; iAF692; iYL1228; STM_v1_0; iAF1260b; iHN637; iY75_1357; iYO844; iJN678; iEC1364_W; iEK1008; iEC1349_Crooks; iEC1356_Bl21DE3; iJB785; iML1515; iYS854; iSSON_1240; iSBO_1134; iUMNK88_1353; iSFV_1184; iWFL_1372; iSFxv_1172; iUTI89_1310; iZ_1308; iUMN146_1321; iSDY_1059; iSbBS512_1146; iECDH10B_1368; iECED1_1282; iECABU_c1320; iECD_1391; iEcE24377_1341; iECB_1328; iECBD_1354; iEcHS_1320; iECH74115_1262; iECDH1ME8569_1439; iEcDH1_1363; iEC55989_1330	Reactome Compound: http://identifiers.org/reactome/R-ALL-947561; KEGG Compound: http://identifiers.org/kegg.compound/C06232; CHEBI: http://identifiers.org/chebi/CHEBI:25368; CHEBI: http://identifiers.org/chebi/CHEBI:25371; CHEBI: http://identifiers.org/chebi/CHEBI:36263; CHEBI: http://identifiers.org/chebi/CHEBI:36264; CHEBI: http://identifiers.org/chebi/CHEBI:6967; Human Metabolome Database: http://identifiers.org/hmdb/HMDB12260; InChI Key: https://identifiers.org/inchikey/MEFBJEMVZONFCJ-UHFFFAOYSA-N; BioCyc: http://identifiers.org/biocyc/META:CPD-3; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1026; SEED Compound: http://identifiers.org/seed.compound/cpd11574
N-Acetyl-D-mannosamine	metabolite	acmana_c	acmana	N-Acetyl-D-mannosamine	Organic oxygen compounds	iCN900; iEC1368_DH5a; iCN718; iEC1372_W3110; iSynCJ816; iEC1344_C; iYS1720; iECSP_1301; iEKO11_1354; iEcSMS35_1347; iG2583_1286; iLF82_1304; iETEC_1333; iECSE_1348; iECSF_1327; iNRG857_1313; iS_1188; iECW_1372; iECUMN_1333; iUMN146_1321; iUMNK88_1353; iWFL_1372; iSbBS512_1146; iZ_1308; iSDY_1059; iSSON_1240; iUTI89_1310; iSFV_1184; iJR904; iSFxv_1172; iSBO_1134; iEcDH1_1363; iECB_1328; iECDH10B_1368; iECD_1391; iECDH1ME8569_1439; iECBD_1354; iECED1_1282; iEcE24377_1341; iEC55989_1330; iECABU_c1320; iECH74115_1262; iEcHS_1320; STM_v1_0; iAF987; iMM1415; iAF692; iYO844; iAB_RBC_283; iAF1260b; iCHOv1; iHN637; iY75_1357; iJN678; RECON1; iEC1364_W; iML1515; iCHOv1_DG44; Recon3D; iYS854; iEC1349_Crooks; iEC1356_Bl21DE3; iECP_1309; iECOK1_1307; iECO111_1330; iECS88_1305; iEcolC_1368; iECIAI1_1343; iECNA114_1301; iECIAI39_1322; iECs_1301; iECO103_1326; iECO26_1355; iAPECO1_1312; iBWG_1329; iPC815; iEC042_1314; iE2348C_1286; iJO1366; iSB619; iSF_1195; iB21_1397; iAF1260; ic_1306	Reactome Compound: http://identifiers.org/reactome/R-ALL-4085214; KEGG Compound: http://identifiers.org/kegg.compound/C00645; CHEBI: http://identifiers.org/chebi/CHEBI:12459; CHEBI: http://identifiers.org/chebi/CHEBI:12573; CHEBI: http://identifiers.org/chebi/CHEBI:17122; CHEBI: http://identifiers.org/chebi/CHEBI:21538; CHEBI: http://identifiers.org/chebi/CHEBI:58019; CHEBI: http://identifiers.org/chebi/CHEBI:63153; CHEBI: http://identifiers.org/chebi/CHEBI:7141; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62724; InChI Key: https://identifiers.org/inchikey/MBLBDJOUHNCFQT-XAMCCFCMSA-N; BioCyc: http://identifiers.org/biocyc/META:N-acetyl-D-mannosamine; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2403; SEED Compound: http://identifiers.org/seed.compound/cpd00492
N-Acetyl-L-glutamate	metabolite	acglu_c	acglu	N-Acetyl-L-glutamate	Organic acids and derivatives	iS_1188; iNRG857_1313; iECW_1372; iECSP_1301; iG2583_1286; iLF82_1304; iECUMN_1333; iEcSMS35_1347; iECSF_1327; iECSE_1348; iETEC_1333; iEKO11_1354; iLJ478; STM_v1_0; iAF1260b; iAF692; iHN637; iRC1080; iY75_1357; iAF987; iJN678; iYO844; iECIAI1_1343; iEcolC_1368; iECO103_1326; iECO111_1330; iECs_1301; iECP_1309; iECNA114_1301; iECO26_1355; iECS88_1305; iECOK1_1307; iECIAI39_1322; iSbBS512_1146; iZ_1308; iUMNK88_1353; iSBO_1134; iUMN146_1321; iSDY_1059; iWFL_1372; iSSON_1240; iJR904; iUTI89_1310; iSFxv_1172; iYL1228; iSFV_1184; iEK1008; iJB785; iML1515; iEC1364_W; iEC1356_Bl21DE3; iNF517; iEC1349_Crooks; Recon3D; iYS854; iAM_Pc455; iEC1368_DH5a; iAM_Pb448; iCN900; iSynCJ816; iAM_Pk459; iCN718; iJN1463; iEC1344_C; iEC1372_W3110; iAM_Pf480; iAM_Pv461; iYS1720; iPC815; iNJ661; iJO1366; iAPECO1_1312; iJN746; iSF_1195; iE2348C_1286; ic_1306; iB21_1397; iBWG_1329; iEC042_1314; iAF1260; iSB619; iEcHS_1320; iEcE24377_1341; iEC55989_1330; iECDH10B_1368; iECBD_1354; iEcDH1_1363; iECABU_c1320; iECD_1391; iECB_1328; iECED1_1282; iECH74115_1262; iECDH1ME8569_1439	Reactome Compound: http://identifiers.org/reactome/R-ALL-30471; KEGG Compound: http://identifiers.org/kegg.compound/C00624; CHEBI: http://identifiers.org/chebi/CHEBI:12575; CHEBI: http://identifiers.org/chebi/CHEBI:17533; CHEBI: http://identifiers.org/chebi/CHEBI:21549; CHEBI: http://identifiers.org/chebi/CHEBI:21552; CHEBI: http://identifiers.org/chebi/CHEBI:44335; CHEBI: http://identifiers.org/chebi/CHEBI:44337; CHEBI: http://identifiers.org/chebi/CHEBI:64040; CHEBI: http://identifiers.org/chebi/CHEBI:7150; CHEBI: http://identifiers.org/chebi/CHEBI:87274; BioCyc: http://identifiers.org/biocyc/META:ACETYL-GLU; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM730; InChI Key: https://identifiers.org/inchikey/RFMMMVDNIPUKGG-YFKPBYRVSA-L; SEED Compound: http://identifiers.org/seed.compound/cpd00477
N-Acetyl-L-glutamate 5-semialdehyde	metabolite	acg5sa_c	acg5sa	N-Acetyl-L-glutamate 5-semialdehyde	Organic acids and derivatives	iAPECO1_1312; iJO1366; iSB619; iEC042_1314; iE2348C_1286; iB21_1397; iBWG_1329; ic_1306; iAF1260; iJN746; iNJ661; iSF_1195; iPC815; iEcDH1_1363; iECABU_c1320; iEC55989_1330; iECH74115_1262; iECED1_1282; iEcE24377_1341; iECD_1391; iECDH1ME8569_1439; iECB_1328; iECDH10B_1368; iEcHS_1320; iECBD_1354; iECSF_1327; iECSE_1348; iS_1188; iECW_1372; iG2583_1286; iEcSMS35_1347; iNRG857_1313; iECUMN_1333; iECSP_1301; iEKO11_1354; iLF82_1304; iETEC_1333; iYS1720; iCN900; iSynCJ816; iCN718; iEC1372_W3110; iEC1344_C; iJN1463; iEC1368_DH5a; iSBO_1134; iSbBS512_1146; iSFV_1184; iYL1228; iSDY_1059; iUMNK88_1353; iZ_1308; iUTI89_1310; iWFL_1372; iUMN146_1321; iSFxv_1172; iSSON_1240; iJR904; iECNA114_1301; iECIAI39_1322; iECO26_1355; iECO103_1326; iECIAI1_1343; iECP_1309; iEcolC_1368; iECO111_1330; iECs_1301; iECOK1_1307; iECS88_1305; iLJ478; iAF692; iHN637; iY75_1357; iJN678; iAF1260b; iYO844; iAF987; STM_v1_0; iRC1080; iEC1356_Bl21DE3; iEC1364_W; iYS854; iEC1349_Crooks; iJB785; iNF517; iML1515; iEK1008	InChI Key: https://identifiers.org/inchikey/BCPSFKBPHHBDAI-LURJTMIESA-M; KEGG Compound: http://identifiers.org/kegg.compound/C01250; CHEBI: http://identifiers.org/chebi/CHEBI:11493; CHEBI: http://identifiers.org/chebi/CHEBI:12461; CHEBI: http://identifiers.org/chebi/CHEBI:12577; CHEBI: http://identifiers.org/chebi/CHEBI:16319; CHEBI: http://identifiers.org/chebi/CHEBI:21551; CHEBI: http://identifiers.org/chebi/CHEBI:29123; CHEBI: http://identifiers.org/chebi/CHEBI:7152; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06488; BioCyc: http://identifiers.org/biocyc/META:CPD-469; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1062; SEED Compound: http://identifiers.org/seed.compound/cpd00918
O-Succinyl-L-homoserine	metabolite	suchms_c	suchms	O-Succinyl-L-homoserine	Organic acids and derivatives	iSB619; iND750; iMM904; iPC815; ic_1306; iSF_1195; iJN746; iBWG_1329; iAF1260; iJO1366; iB21_1397; iEC042_1314; iE2348C_1286; iAPECO1_1312; iNJ661; iIT341; iUTI89_1310; iSSON_1240; iUMNK88_1353; iZ_1308; iSFxv_1172; iSbBS512_1146; iUMN146_1321; iWFL_1372; iSFV_1184; iJR904; iSBO_1134; iSDY_1059; iML1515; iNF517; iEC1356_Bl21DE3; iEK1008; iEC1349_Crooks; iAF1260b; iY75_1357; STM_v1_0; iYO844; iHN637; iYL1228; iLJ478; iRC1080; iECABU_c1320; iEC55989_1330; iECBD_1354; iEcHS_1320; iEcE24377_1341; iECD_1391; iECDH1ME8569_1439; iECB_1328; iECED1_1282; iECH74115_1262; iEcDH1_1363; iECDH10B_1368; iECSE_1348; iNRG857_1313; iECSF_1327; iETEC_1333; iG2583_1286; iECSP_1301; iEKO11_1354; iECW_1372; iECUMN_1333; iS_1188; iLF82_1304; iEcSMS35_1347; iEC1344_C; iEC1368_DH5a; iCN718; iCN900; iEC1372_W3110; iYS1720; iEC1364_W; iJN1463; iECIAI1_1343; iECIAI39_1322; iECOK1_1307; iECO103_1326; iECNA114_1301; iECO26_1355; iECS88_1305; iECP_1309; iECO111_1330; iECs_1301; iEcolC_1368	KEGG Compound: http://identifiers.org/kegg.compound/C01118; CHEBI: http://identifiers.org/chebi/CHEBI:12699; CHEBI: http://identifiers.org/chebi/CHEBI:12723; CHEBI: http://identifiers.org/chebi/CHEBI:16160; CHEBI: http://identifiers.org/chebi/CHEBI:21975; CHEBI: http://identifiers.org/chebi/CHEBI:57661; CHEBI: http://identifiers.org/chebi/CHEBI:7704; InChI Key: https://identifiers.org/inchikey/GNISQJGXJIDKDJ-YFKPBYRVSA-M; BioCyc: http://identifiers.org/biocyc/META:O-SUCCINYL-L-HOMOSERINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM820; SEED Compound: http://identifiers.org/seed.compound/cpd00822
O-Succinylbenzoyl-CoA	metabolite	sbzcoa_c	sbzcoa	O-Succinylbenzoyl-CoA	Lipids and lipid-like molecules	iCN900; iCN718; iAM_Pf480; iAM_Pk459; iYS1720; iEC1372_W3110; iEC1364_W; iAM_Pb448; iEC1344_C; iEC1368_DH5a; iAM_Pv461; iSynCJ816; iAM_Pc455; iECO26_1355; iECOK1_1307; iECs_1301; iEcolC_1368; iECS88_1305; iECO103_1326; iECO111_1330; iECIAI39_1322; iECIAI1_1343; iECP_1309; iECNA114_1301; ic_1306; iE2348C_1286; iAPECO1_1312; iAF1260; iIT341; iJO1366; iBWG_1329; iSF_1195; iB21_1397; iPC815; iSB619; iEC042_1314; iNJ661; iECSF_1327; iLF82_1304; iECSE_1348; iEKO11_1354; iG2583_1286; iS_1188; iEcSMS35_1347; iECW_1372; iETEC_1333; iECSP_1301; iNRG857_1313; iECUMN_1333; iAF987; iAF1260b; STM_v1_0; iJN678; iYL1228; iYO844; iY75_1357; iJB785; iEC1356_Bl21DE3; iNF517; iYS854; iEC1349_Crooks; iEK1008; iML1515; iUMN146_1321; iSFV_1184; iZ_1308; iJR904; iSDY_1059; iSbBS512_1146; iSFxv_1172; iWFL_1372; iSSON_1240; iUMNK88_1353; iSBO_1134; iUTI89_1310; iECH74115_1262; iECDH1ME8569_1439; iECB_1328; iECD_1391; iEcE24377_1341; iEC55989_1330; iEcDH1_1363; iEcHS_1320; iECDH10B_1368; iECBD_1354; iECABU_c1320; iECED1_1282	InChI Key: https://identifiers.org/inchikey/AVOVYFCDODUXLY-HSJNEKGZSA-I; KEGG Compound: http://identifiers.org/kegg.compound/C03160; CHEBI: http://identifiers.org/chebi/CHEBI:12700; CHEBI: http://identifiers.org/chebi/CHEBI:1279; CHEBI: http://identifiers.org/chebi/CHEBI:12836; CHEBI: http://identifiers.org/chebi/CHEBI:15509; CHEBI: http://identifiers.org/chebi/CHEBI:19779; CHEBI: http://identifiers.org/chebi/CHEBI:57364; BioCyc: http://identifiers.org/biocyc/META:CPD-6972; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1132; SEED Compound: http://identifiers.org/seed.compound/cpd02021
